text_title;sentence_number;include;preceding_word;preceding_word_pos;preceding_word_morph;preceding_word_gls;borrowing;verb;verb_morph;verb_gls;sentence;sentence_gls;sentence_trsl;semantic_field;;;;;;;;;;;;
20220718-QaderAndBabarConversation;133;yes;xatum;adj;xatum;absent;Ar;keji;ke-ji;do-cv;lihaːzaː woj mon-i peɣaːm tʰini ʨi badneti-a xatum ke-ji ja bliaːja ʐup-i ja qaum ʐup-i;so prox.sg my-f message be.prs.3f.sg that malice-obl absent do-cv indf brother become-cv indf tribe become-cv;So I give this message to end the malice of each other and become one nation;20;;;;;;;;;;;;
20220718-RahmatUllahServices;66;yes;xatum;adj;xatum;absent;Ar;keus;ke-us;do-pst.3sg;imraːn xaːn saːib-an-i hukumat ʥ-i asa paisa-a en xatum ke-us;Imran Khan Sir-gen-f government come-cv prox.obl.sg money-obl prox.erg/ins absent do-pst.3sg;Imran Khan ended this program;1;;;;;;;;;;;;
20220718-RahmatUllahServices;145;yes;xatum;adj;xatum;absent;Ar;kerusãː;ker-us-ãː;do-pst.3sg-dat;asan-a baːd ʨi mon-a baːp-e siaːsat-a xatum ker-us-ãː;prox.gen.sg-m after that my-m father-erg/ins politics-obl absent do-pst.3sg-dat;When my father gave up politics;19;;;;;;;;;;;;
20230514-ConversationBetweenHabibZamanAndAnUllah;36;no;xatum;adj;xatum;absent;Ar;keika;ke-ika;do-fut.1pl;leɬ meɬ -a xatum ke-ika giri baːl-ika ki rau b-imaːntiba;harvest m-redupl obl absent do-fut.1pl then look-fut.1pl what way be-debit.3sg;will see after the harvesting of wheat;;;;;;;;;;;;;
20220718-RahmatUllahServices;170;yes;ekʈiweʈ;<Not Sure>;ekʈiweʈ;activate;Eng;kerum;ker-um;do-pst.1sg;te muj taqriban law kasaːn-a ekʈiweʈ ker-um;dist.obl.sg I.erg approximately very people-obl activate do-pst.1sg;In this, I have enabled many new people;19;;;;;;;;;;;;
20220718-RahmatUllahServices;174;yes;ekʈiweʈ;<Not Sure>;ekʈiweʈ;activate;Eng;kerumãː;ker-um-ãː;do-pst.1sg-dat;tasa manzi gila ke tasãː kaːl ke tasan-a ekʈiweʈ ker-um-ãː;dist.obl.sg with/at thing do.cv dist.dat.sg year do.cv dist.gen.sg-m activate do-pst.1sg-dat;I mobalized them by calling them;19;;;;;;;;;;;;
20221009-AbulHassanCuttingMaize;36;yes;lubus;n;lubus;adding;;ke;ke;do.cv;biu tala-i paʂ lubus ke;seeds put-cv dung adding do.cv;By adding seeds and fertilizers;8;;;;;;;;;;;;
20220123-MAShahAdbiSargarmi;138;yes;qabul;n;qabul;acceptance;Ar;kei;ke-i;do-cv;tasãː muj riquesʈ ke-um-ãː teni asa ta-i xoɕaːl bi qabul ke-i;dist.dat.sg I.erg request do-pst.1sg-dat dist.erg.sg prox.obl.sg see-cv happy add acceptance do-cv;i requisted and they accepted it;19;;;;;;;;;;;;
20230111-AmirWaliShahAtMedicalStor;104;yes;daːxila;n;daːxil-a;admission;Ar;kerok;ker-ok;do-pst.1pl;daːxil-a ker-ok ʈu ijer-an-a ɖupluma bua tine;admission-obl do-pst.1pl two year-gen-m diploma be.pst.3m.sg there;got admission for two year diploma;19;;;;;;;;;;;;
20211003-AliIntrwPolitics;121;yes;paːlisia;n;paːlisi-a;policy;Eng;bajaːn kedaːum;bajaːn ke-daːum;do.tell-dist.pst.1sg;paːlisi-a bajaːn ke-daːum;policy-obl do.tell-dist.pst.1sg;I explained the policy;18;;;;;;;;;;;;
20211003-AliIntrwPolitics;170;yes;swaːl;nf;swaːl;question;Ar;ke;ke;do.cv;naj kark-aː̄ ama swaːl ke ba-mek;no someone-dat we question do.cv can-prs.1pl;Then we will not need anyone;19;;;;;;;;;;;;
