text_title;sentence_number;include;preceding_word;preceding_word_pos;preceding_word_morph;preceding_word_gls;borrowing;verb;verb_morph;verb_gls;sentence;sentence_gls;sentence_trsl;semantic_field;;;;;;;;;;;;
20151225-DinMuhammadFolkTale;5.2;;aːila;n;aːila;food;;ɬa;ɬ-a;give-imp.sg;e maːʂai ʥa-won zizi ʥa-wom ze ama aːila ɬ-a naː ta ama tãː-ki daːr ɬuŋguɽa ʈapala-ika ʥa-us-ãː;oh aunt say-pst.3pl sister say-pst.1sg comp we.obl food give-imp.sg too(?) we you.sg.dat-to wood firewood collect-fut.1pl say-pst.3sg-dat;These brothers called a girl aunt and said that feed us rice too, we will bring wood for you in return.;;;;;;;;;;;;;
20151225-DinMuhammadFolkTale;24;;ʈʰaːn;nm;ʈʰaːn;area;;ɬitus;ɬ-itus;give-prf.3sg;xudaːi paːk-e laka tasu tine ʈʰaːn ɬ-itus;God clean-erg/ins like dist.obl.pl there area give-prf.3sg;Allah gave them a good place;;;;;;;;;;;;;
20151225-DinMuhammadFolkTale;25;;ʈʰaːn;nm;ʈʰaːn;area;;ɬi;ɬi;give.cv;ʈʰaːn ɬi ʥo time tine niɕ-isan bot;area give.cv dist.pl there sit-ptcp.pf be.pst.3pl;All of them started living there.;;;;;;;;;;;;;
20151225-DinMuhammadFolkTale;28;;aːila;n;aːila;food;;ɬema;ɬ-ema;give-fut.1sg;ɖoɣora bat-e ga-i-ãː ki ʥa-us-e e baːja -gila-au ʥa-us-e jafala ɬuŋguɽa mãː ki aːn-iu naː ta ʥa-us-e ãː wagila ke-jema miãː aːila ɬ-ema ʥa-us;doghori rice-erg/ins go-cv-dat to say-pst.3sg oh brother pl say-pst.3sg some firewood I.dat to bring-imp.pl too(?) say-pst.3sg I thing do-fut.1sg I.dat food give-fut.1sg say-pst.3sg;While cooking rice there, she called the boys and said that she will bring me wood and feed me rice in return;;;;;;;;;;;;;
20151225-DinMuhammadFolkTale;48;;ʈʰaːn;nm;ʈʰaːn;area;;ɬa;ɬ-a;give-imp.sg;jaː allah ʥa-us-e ate tʰun manzi mo ʈʰaːn ɬ-a ta ãː te tʰun manzi walima asu pena ki zaːn-ik ʥa-us-e blija-ːa tʰi-ta naj waːri kara tʰi-ta;oh God say-pst.3sg here pillar with/at I.obl area give-imp.sg I dist.obl.sg pillar with/at prox.obl.pl from what think-pst.1pl say-pst.3sg brother be-fut.3pl no besides who be-fut.3pl;"Allah said, ""Give me a place inside this pillar. Do you know if my brothers will be here or who else?""";;;;;;;;;;;;;
20151225-DinMuhammadFolkTale;49;;parda;n;parda;curtain;;ɬa;ɬ-a;give-imp.sg;au mo ate parda ɬ-a ʥa-us-ãː allah-an-i hukm-e sara se tʰun dal-ui di manz ɬenʈʂ-ui manz ɬenʨ-i niʂ-ui ʥo tol-a-ãː ki bliaːjen aːjat;and I.obl here curtain give-imp.sg say-pst.3sg-dat God-gen-f order-erg/ins with dist.sg pillar split-pst.3f.sg go.cv inside get.into-pst.3f.sg inside get.into-cv sit-pst.3f.sg then-dat to brother(s) come.pst.3pl;By Allah's order, that pillar split from the middle and hid inside, so those brothers also reached;;;;;;;;;;;;;
20151225-DinMuhammadFolkTale;72;;iʦisna;nf;iʦisn-a;eye-obl;;ɬitusāː;ɬ-itus-āː;give-prf.3sg-dat;ten tas du iʦisn-a ɬ-itus-āː ten-jak du iʦin-e baːl-i au tap tasa ɬ-i au tap tala-i daːm-us;dist.erg.sg dist.obl.sg two eye-obl give-prf.3sg-dat dist.erg.sg-one two eye-erg/ins look-cv and dist.obl.sg hit-cv and put-cv catch-pst.3sg;When the girl put a rag in two of his eyes, he managed to catch the girl with the other two eyes;;;;;;;;;;;;;
20151225-DinMuhammadFolkTale;104;;haŋgaːra;nm;haŋgaːr-a;fire-obl;;ɬi;ɬi;give.cv;ʑu-num ʥa-us-ãː tenbak di limoʈi je ɬi au tasa haŋgaːr-a ɬi badai haŋgaːr-naʂ ke wuɽ-us;eat-pst.1sg say-pst.3sg-dat after go.cv tail erg/ins by and dist.obl.sg fire-obl give.cv fire do.cv pst.3sg;The cat did not like this and went to the other side and extinguished the fire of the stove;;;;;;;;;;;;;
20151225-DinMuhammadFolkTale;111;;haŋgaːra;nm;haŋgaːr-a;fire-obl;;ɬi;ɬi;give.cv;ke-ik-i bui-ãː ki muj ʥa-um de ja sunzu ɖoka bua naː tasa muj ʑu-num ʥa-um-ãː ki au hanŋaːr limoʈi-a bil ke ʥa-us-e haŋgaːr-a ɬi badai au ʥa-us-e mo hairaːn ke-us;do-vn be.pst.3f.sg-dat to I.erg say-pst.1sg indf plum seed be.pst.3m.sg in.return dist.obl.sg I.erg eat-pst.1sg say-pst.1sg-dat to and fire tail-obl do.cv say-pst.3sg fire-obl give.cv and say-pst.3sg I.obl surprised do-pst.3sg;I also told him that I had eaten a berry and he put out the fire in return.;;;;;;;;;;;;;
20151225-DinMuhammadFolkTale;187;;ʨai;nf;ʨai;tea;;ɬitus;ɬ-itus;give-prf.3sg;aːma gaː-us aːma gaː-i tasu niʂa-i ʨai ɬ-itus miʂʈi ɬ-itus wagli ker-us ʥo tasun-i law qadar izat ke-ik-i bua;house carry-pst.3sg house carry-cv dist.obl.pl sit.caus-cv tea give-prf.3sg bread give-prf.3sg thing do-pst.3sg dist.gen.pl-f very value(?) honour do-vn be.pst.3m.sg;The king showed good hospitality to them.;;;;;;;;;;;;;
