,word,gls,stem,affixes,nonfinite.affixes
0,bua,be.pst.3m.sg,be,"pst, 3m, sg",
1,bot,be.pst.3pl,be,"pst, 3pl",
2,d-it,go-pst.3pl,go,"pst, 3pl",
3,ʥa-i,say-cv,say,cv,cv
4,bui,be.pst.3f.sg,be,"pst, 3f, sg",
5,d-it,go-pst.3pl,go,"pst, 3pl",
6,d-it,go-pst.3pl,go,"pst, 3pl",
7,ʥa-won,say-pst.3pl,say,"pst, 3pl",
8,ʥa-wom,say-pst.1sg,say,"pst, 1sg",
9,ɬ-a,give-imp.sg,give,"imp, sg",
10,ʈapala-ika,collect-fut.1pl,collect,"fut, 1pl",
11,ʥa-us-ãː,say-pst.3sg-dat,say,"pst, 3sg, dat",
12,ʥa-wus-e,say-pst.3sg,say,"pst, 3sg",
13,kʰaː-i,pull_out-cv,pull_out,cv,cv
14,kʰaː-i,pull_out-cv,pull_out,cv,cv
15,kʰaː-i,pull_out-cv,pull_out,cv,cv
16,ɬ-ika,give-fut.1pl,give,"fut, 1pl",
17,ɬ-itowa,give-prf.1pl(?),give,"prf, 1pl(?)",
18,ʥa-us-ãː,say-pst.3sg-dat,say,"pst, 3sg, dat",
19,aːjat,come.pst.3pl,come,"pst, 3pl",
20,ʥ-i,come-cv,come,cv,cv
21,ʥa-won,say-pst.3pl,say,"pst, 3pl",
22,tʰanaa,be.prs.3m.sg,be,"prs, 3m, sg",
23,ʥa-us-ãː,say-pst.3sg-dat,say,"pst, 3sg, dat",
24,ʥa-us-e,say-pst.3sg,say,"pst, 3sg",
25,ʥa-us-e,say-pst.3sg,say,"pst, 3sg",
26,tʰinim,be.prs.1f.sg,be,"prs, 1f, sg",
27,ʥa-us,say-pst.3sg,say,"pst, 3sg",
28,bui,be.pst.3f.sg,be,"pst, 3f, sg",
29,ʥa-us-e,say-pst.3sg,say,"pst, 3sg",
30,lama-asa,hang-fut.2sg,hang,"fut, 2sg",
31,bua,be.pst.3m.sg,be,"pst, 3m, sg",
32,ʥa-us-e,say-pst.3sg,say,"pst, 3sg",
33,lama-asa,hang-fut.2sg,hang,"fut, 2sg",
34,ʥ-ika,come-fut.1pl,come,"fut, 1pl",
35,aːja,come.pst.3sg,come,"pst, 3sg",
36,gaik,go.pst.1pl,go,"pst, 1pl",
37,gaik,go.pst.1pl,go,"pst, 1pl",
38,bui,be.pst.3f.sg,be,"pst, 3f, sg",
39,ʥ-ika,come-fut.1pl,come,"fut, 1pl",
40,b-itini,be-prf.3f.sg,be,"prf, 3f, sg",
41,ʥa-i,say-cv,say,cv,cv
42,ʥa-us-ãː,say-pst.3sg-dat,say,"pst, 3sg, dat",
43,tʰana,be.prs.3m.sg,be,"prs, 3m, sg",
44,ʥa-i,say-cv,say,cv,cv
45,go-i,take-cv,take,cv,cv
46,gait,go.pst.3pl,go,"pst, 3pl",
47,nes-i,come_out-cv,come_out,cv,cv
48,gait,go.pst.3pl,go,"pst, 3pl",
49,gait,go.pst.3pl,go,"pst, 3pl",
50,gait,go.pst.3pl,go,"pst, 3pl",
51,gait,go.pst.3pl,go,"pst, 3pl",
52,fed-ot,arrive-pst.3pl,arrive,"pst, 3pl",
53,fed-i,arrive-cv,arrive,cv,cv
54,di,go.cv,go,cv,cv
55,niʂ-ot-ãː,sit-pst.3pl-dat,sit,"pst, 3pl, dat",
56,ke-us,do-pst.3sg,do,"pst, 3sg",
57,ke-us-ãː,do-pst.3sg-dat,do,"pst, 3sg, dat",
58,ʥa-mes,say-prs.2sg,say,"prs, 2sg",
59,ʥa-us,say-pst.3sg,say,"pst, 3sg",
60,ʥa-mes,say-prs.2sg,say,"prs, 2sg",
61,ʥa-us-ãː,say-pst.3sg-dat,say,"pst, 3sg, dat",
62,ʥa-us-e,say-pst.3sg,say,"pst, 3sg",
63,naŋga-i,throw-cv,throw,cv,cv
64,lubɽa-u,roll-imp.pl,roll,"imp, pl",
65,ʥa-us,say-pst.3sg,say,"pst, 3sg",
66,ʈakaʦ-ui,fall-pst.3f.sg,fall,"pst, 3f, sg",
67,ʥa-us,say-pst.3sg,say,"pst, 3sg",
68,lik-iu,pull-opt,pull,opt,
69,ʥa-ue,say,say,,
70,b-iba,be-fut.3sg,be,"fut, 3sg",
71,d-imaːiu,go-prs.2pl,go,"prs, 2pl",
72,naŋg-i,get_off-cv,get_off,cv,cv
73,leɽa-us,show-pst.3sg,show,"pst, 3sg",
74,naŋga-i,throw-cv,throw,cv,cv
75,lubɽa-won-ãː,roll-pst.3pl-dat,roll,"pst, 3pl, dat",
76,di,go.cv,go,cv,cv
77,bua,be.pst.3m.sg,be,"pst, 3m, sg",
78,ʈakaʦ-ui,fall-pst.3f.sg,fall,"pst, 3f, sg",
79,ʈalaʦ-ua-ãː,fall-pst.3m.sg-dat,fall,"pst, 3m, sg, dat",
80,gait-ãː,go.pst.3pl-dat,go,"pst, 3pl, dat",
81,gait-āː,go.pst.3pl-dat,go,"pst, 3pl, dat",
82,lik-on,pull-pst.3pl,pull,"pst, 3pl",
83,lik-on-ãː,pull-pst.3pl-dat,pull,"pst, 3pl, dat",
84,naŋga-i,throw-cv,throw,cv,cv
85,baːl-on-ãː,look-pst.3pl-dat,look,"pst, 3pl, dat",
86,nes-ua,come_out-pst.3m.sg,come_out,"pst, 3m, sg",
87,baːl-on-ãː,look-pst.3pl-dat,look,"pst, 3pl, dat",
88,bui,be.pst.3f.sg,be,"pst, 3f, sg",
89,naŋga-i,throw-cv,throw,cv,cv
90,naŋg-i,get_off-cv,get_off,cv,cv
91,gait,go.pst.3pl,go,"pst, 3pl",
92,gait-ãː,go.pst.3pl-dat,go,"pst, 3pl, dat",
93,bua,be.pst.3m.sg,be,"pst, 3m, sg",
94,ɬenʨ-i,get_into-cv,get_into,cv,cv
95,niʂ-ot,sit-pst.3pl,sit,"pst, 3pl",
96,bui,be.pst.3f.sg,be,"pst, 3f, sg",
97,ɬ-itus,give-prf.3sg,give,"prf, 3sg",
98,ɬi,give.cv,give,cv,cv
99,niɕ-isan,sit-ptcp.pf,sit,"ptcp, pf",
100,bot,be.pst.3pl,be,"pst, 3pl",
101,niɕ-isan,sit-ptcp.pf,sit,"ptcp, pf",
102,bot,be.pst.3pl,be,"pst, 3pl",
103,di,go.cv,go,cv,cv
104,ga-i,go-cv,go,cv,cv
105,ga-i-ãː,go-cv-dat,go,"cv, dat",cv
106,ʥa-us-e,say-pst.3sg,say,"pst, 3sg",
107,ʥa-us-e,say-pst.3sg,say,"pst, 3sg",
108,aːn-iu,bring-imp.pl,bring,"imp, pl",
