,verb,frequency
0,be,2655
1,do,1034
2,say,823
3,come,548
4,go,390
5,give,226
6,take,158
7,put,144
8,look,126
9,sit,121
10,bring,107
11,understand,95
12,pull,83
13,get,82
14,play,68
15,throw,62
16,carry,60
17,stay,57
18,arrive,52
19,can,50
20,eat,49
21,make,41
22,become,40
23,run,39
24,see,33
25,die,32
26,catch,31
27,sow,29
28,drive,27
29,happen,26
30,dig,25
31,sell,25
32,hear,24
33,need,24
34,write,23
35,ask,23
36,fall,20
37,climb,19
38,cross,18
39,swim,17
40,sew,17
41,cook,16
42,spend,16
43,raise,16
44,reach,16
45,send,16
46,know,16
47,install,16
48,have,16
49,win,16
50,descend,15
51,suffer,15
52,cut,14
53,sleep,14
54,kill,13
55,grind,13
56,hang,12
57,show,12
58,cry,11
59,hide,11
60,jump,11
61,tie,11
62,fill,10
63,leave,10
64,collect,9
65,find,9
66,buy,9
67,gather,8
68,harvest,8
69,think,8
70,break,7
71,lose,7
72,learn,7
73,dry,7
74,turn,7
75,roll,6
76,earn,6
77,travel,6
78,wipe,5
79,drink,5
80,spread(?),5
81,lift,5
82,walk,5
83,starving,4
84,feed,4
85,serve(?),4
86,shave,4
87,rest,4
88,bomb,4
89,no,4
90,accept,4
91,engage(?),4
92,split,3
93,unite,3
94,record,3
95,leave(?),3
96,like,3
97,want,3
98,stole,3
99,spin,3
100,tear,3
101,tire,3
102,wash,2
103,bloom(?),2
104,fly,2
105,wake,2
106,teach,2
107,open,2
108,forgive,2
109,meet,2
110,dance,2
111,burn,2
112,collapse,2
113,collect(?),2
114,sing(?),2
115,wear(?),2
116,hole,1
117,clean,1
118,lie,1
119,stand,1
120,scold,1
121,flower(?),1
122,refund(?),1
123,refer,1
124,time,1
125,search(?),1
126,remember,1
127,frighten,1
128,enter,1
129,close,1
130,enjoy,1
131,save(?),1
132,cop,1
133,heat,1
134,migrate,1
135,blow,1
136,forget,1
137,threaten,1
138,not,1
139,voice,1
140,dress,1
141,laugh,1
142,damage,1
143,cover,1
144,injure,1
145,wheat,1
