,verb,frequency
0,be,2611
1,do,819
2,say,685
3,come,373
4,go,220
5,give,197
6,look,112
7,sit,102
8,take,95
9,understand,94
10,put,88
11,bring,62
12,play,60
13,get,51
14,stay,51
15,can,49
16,pull,46
17,eat,38
18,become,38
19,arrive,37
20,make,37
21,die,32
22,sow,28
23,happen,26
24,carry,26
25,see,26
26,catch,23
27,throw,21
28,run,21
29,hear,21
30,write,20
31,sell,20
32,need,20
33,drive,20
34,fall,19
35,dig,19
36,ask,18
37,raise,14
38,cross,14
39,know,13
40,have,13
41,win,13
42,sew,13
43,hang,12
44,show,12
45,cut,12
46,sleep,12
47,spend,11
48,reach,11
49,kill,11
50,climb,11
51,install,11
52,hide,9
53,leave,9
54,buy,9
55,grind,9
56,find,8
57,send,8
58,cook,7
59,break,7
60,swim,7
61,roll,6
62,jump,6
63,cry,6
64,harvest,6
65,think,6
66,turn,6
67,tie,5
68,spread(?),5
69,learn,5
70,descend,5
71,walk,5
72,travel,5
73,wipe,4
74,drink,4
75,earn,4
76,no,4
77,accept,4
78,suffer,4
79,dry,4
80,engage(?),4
81,collect,3
82,split,3
83,fill,3
84,lose,3
85,record,3
86,leave(?),3
87,gather,3
88,like,3
89,want,3
90,shave,3
91,lift,3
92,tire,3
93,starving,2
94,bloom(?),2
95,fly,2
96,feed,2
97,teach,2
98,open,2
99,forgive,2
100,rest,2
101,burn,2
102,spin,2
103,bomb,2
104,sing(?),2
105,clean,1
106,lie,1
107,scold,1
108,refer,1
109,wake,1
110,time,1
111,remember,1
112,enter,1
113,close,1
114,enjoy,1
115,save(?),1
116,cop,1
117,migrate,1
118,blow,1
119,collapse,1
120,forget,1
121,threaten,1
122,not,1
123,voice,1
124,dress,1
125,laugh,1
126,tear,1
127,cover,1
128,injure,1
129,collect(?),1
130,wheat,1
131,wear(?),1
